t,zero,df,fwd
0,0,1,0.002995482
1,0.002995,0.997009,0.002995482
2,0.002714,0.994587,0.002432221
3,0.00296,0.99116,0.003451601
4,0.003561,0.985859,0.005362632
5,0.004346,0.978506,0.007486424
6,0.005204,0.969258,0.009496088
7,0.006015,0.958769,0.01088066
8,0.006748,0.947448,0.011878116
9,0.007412,0.935469,0.012724046
10,0.007994,0.92317,0.013234608
